entry_date,fill_time_utc,status,ticker,name,entry_price,shares,position_value,source_order_date,exit_date,exit_price,exit_value,realized_pnl,exit_order_date
2026-09-08,2026-09-08T23:53:43+00:00,CLOSED,NVDA,Nvidia,233.21,28,6529.88,2026-09-04,2026-09-16,214.14,5995.92,-533.96,2026-09-15
2026-09-08,2026-09-08T23:53:43+00:00,CLOSED,DELL,Dell Technologies,521.15,12,6253.80,2026-09-04,2026-09-23,559.00,6708.00,454.20,2026-09-22
2026-09-08,2026-09-08T23:53:43+00:00,CLOSED,V,Visa Inc.,371.60,17,6317.20,2026-09-04,2026-09-23,361.24,6141.08,-176.12,2026-09-22
2026-09-17,2026-09-17T23:56:45+00:00,OPEN,CRWD,CrowdStrike,236.03,27,6372.81,2026-09-16,,,,,
