decision_date,execution_date,side,code,ticker,name,shares,decision_price,reason,status
2026-07-22,2026-07-23,BUY,7453,7453.T,良品計画,200,4259.0,300万円運用候補,DECLARED
2026-07-22,2026-07-23,BUY,7936,7936.T,アシックス,200,4895.0,300万円運用候補,DECLARED
