decision_date,execution_date,side,code,ticker,name,shares,reason,status
2026-07-21,2026-07-22,BUY,7453,7453.T,良品計画,100,Claude運用の前日宣告,FILLED
2026-08-20,2026-08-21,SELL,7453,7453.T,良品計画,100,タイムアウト 20営業日（10営業日）,FILLED
2026-08-20,2026-08-21,BUY,7747,7747.T,朝日インテック,200,自動発注（S→A→B順） Sランク・スコア113,FILLED
2026-08-20,2026-08-21,BUY,9513,9513.T,電源開発,200,自動発注（S→A→B順） Aランク・スコア166,FILLED
2026-08-20,2026-08-21,BUY,5901,5901.T,東洋製罐グループホールディングス,200,自動発注（S→A→B順） Aランク・スコア113,FILLED
2026-09-02,2026-09-03,SELL,7747,7747.T,朝日インテック,200,損切ルール -10.9%（-7%以下）,FILLED
