code,name,overall,treatment,morale,openness,growth_20s,longterm,compliance,evaluation,respondents,fetched_at,source_url,status
9007,,,,,,,,,,,2026-09-01,,unavailable
9010,,,,,,,,,,,2026-09-01,,unavailable
9069,,,,,,,,,,,2026-09-01,,unavailable
9278,,,,,,,,,,,2026-09-01,,unavailable
9279,,,,,,,,,,,2026-09-01,,unavailable
9433,,,,,,,,,,,2026-09-01,,unavailable
9449,,,,,,,,,,,2026-09-01,,unavailable
9861,,,,,,,,,,,2026-09-01,,unavailable
9997,,,,,,,,,,,2026-09-01,,unavailable
1518,,,,,,,,,,,2026-09-01,,unavailable
2053,,,,,,,,,,,2026-09-01,,unavailable
2492,,,,,,,,,,,2026-09-01,,unavailable
2681,,,,,,,,,,,2026-09-01,,unavailable
2805,,,,,,,,,,,2026-09-01,,unavailable
3774,,,,,,,,,,,2026-09-01,,unavailable
3864,,,,,,,,,,,2026-09-01,,unavailable
4189,,,,,,,,,,,2026-09-01,,unavailable
4417,,,,,,,,,,,2026-09-01,,unavailable
4972,,,,,,,,,,,2026-09-01,,unavailable
5108,,,,,,,,,,,2026-09-01,,unavailable
5444,,,,,,,,,,,2026-09-01,,unavailable
6080,,,,,,,,,,,2026-09-01,,unavailable
6194,,,,,,,,,,,2026-09-01,,unavailable
6737,,,,,,,,,,,2026-09-01,,unavailable
7128,,,,,,,,,,,2026-09-01,,unavailable
7184,,,,,,,,,,,2026-09-01,,unavailable
7272,,,,,,,,,,,2026-09-01,,unavailable
7381,,,,,,,,,,,2026-09-01,,unavailable
7867,,,,,,,,,,,2026-09-01,,unavailable
8133,,,,,,,,,,,2026-09-01,,unavailable
8142,,,,,,,,,,,2026-09-01,,unavailable
8242,,,,,,,,,,,2026-09-01,,unavailable
8309,,,,,,,,,,,2026-09-01,,unavailable
8316,,,,,,,,,,,2026-09-01,,unavailable
8336,,,,,,,,,,,2026-09-01,,unavailable
8345,,,,,,,,,,,2026-09-01,,unavailable
8387,,,,,,,,,,,2026-09-01,,unavailable
8388,,,,,,,,,,,2026-09-01,,unavailable
8392,,,,,,,,,,,2026-09-01,,unavailable
8393,,,,,,,,,,,2026-09-01,,unavailable
8410,,,,,,,,,,,2026-09-01,,unavailable
8541,,,,,,,,,,,2026-09-01,,unavailable
8601,,,,,,,,,,,2026-09-01,,unavailable
8609,,,,,,,,,,,2026-09-01,,unavailable
8622,,,,,,,,,,,2026-09-01,,unavailable
8628,,,,,,,,,,,2026-09-01,,unavailable
8707,,,,,,,,,,,2026-09-01,,unavailable
8708,,,,,,,,,,,2026-09-01,,unavailable
8725,,,,,,,,,,,2026-09-01,,unavailable
8766,,,,,,,,,,,2026-09-01,,unavailable
8771,,,,,,,,,,,2026-09-01,,unavailable
9274,,,,,,,,,,,2026-09-01,,unavailable
9301,,,,,,,,,,,2026-09-01,,unavailable
9304,,,,,,,,,,,2026-09-01,,unavailable
9324,,,,,,,,,,,2026-09-01,,unavailable
3087,,,,,,,,,,,2026-09-01,,unavailable
3132,,,,,,,,,,,2026-09-01,,unavailable
4027,,,,,,,,,,,2026-09-01,,unavailable
5831,,,,,,,,,,,2026-09-01,,unavailable
6381,,,,,,,,,,,2026-09-01,,unavailable
6638,,,,,,,,,,,2026-09-01,,unavailable
6676,,,,,,,,,,,2026-09-01,,unavailable
7236,,,,,,,,,,,2026-09-01,,unavailable
7327,,,,,,,,,,,2026-09-01,,unavailable
7350,,,,,,,,,,,2026-09-01,,unavailable
7752,,,,,,,,,,,2026-09-01,,unavailable
8084,,,,,,,,,,,2026-09-01,,unavailable
8101,,,,,,,,,,,2026-09-01,,unavailable
8159,,,,,,,,,,,2026-09-01,,unavailable
8306,,,,,,,,,,,2026-09-01,,unavailable
8334,,,,,,,,,,,2026-09-01,,unavailable
8343,,,,,,,,,,,2026-09-01,,unavailable
8360,,,,,,,,,,,2026-09-01,,unavailable
8399,,,,,,,,,,,2026-09-01,,unavailable
8522,,,,,,,,,,,2026-09-01,,unavailable
8524,,,,,,,,,,,2026-09-01,,unavailable
8551,,,,,,,,,,,2026-09-01,,unavailable
8600,,,,,,,,,,,2026-09-01,,unavailable
8604,,,,,,,,,,,2026-09-01,,unavailable
8616,,,,,,,,,,,2026-09-01,,unavailable
2108,,,,,,,,,,,2026-09-01,,unavailable
3563,,,,,,,,,,,2026-09-01,,unavailable
3863,,,,,,,,,,,2026-09-01,,unavailable
5832,,,,,,,,,,,2026-09-01,,unavailable
7181,,,,,,,,,,,2026-09-01,,unavailable
8337,,,,,,,,,,,2026-09-01,,unavailable
9308,,,,,,,,,,,2026-09-01,,unavailable
7167,,,,,,,,,,,2026-09-01,,unavailable
7433,,,,,,,,,,,2026-09-01,,unavailable
9605,,,,,,,,,,,2026-09-01,,unavailable
2270,,,,,,,,,,,2026-09-01,,unavailable
2501,,,,,,,,,,,2026-09-01,,unavailable
2871,,,,,,,,,,,2026-09-01,,unavailable
3107,,,,,,,,,,,2026-09-01,,unavailable
3941,,,,,,,,,,,2026-09-01,,unavailable
4526,,,,,,,,,,,2026-09-01,,unavailable
4613,,,,,,,,,,,2026-09-01,,unavailable
4743,,,,,,,,,,,2026-09-01,,unavailable
4901,,,,,,,,,,,2026-09-01,,unavailable
4928,,,,,,,,,,,2026-09-01,,unavailable
5242,,,,,,,,,,,2026-09-01,,unavailable
5889,,,,,,,,,,,2026-09-01,,unavailable
6457,,,,,,,,,,,2026-09-01,,unavailable
7085,,,,,,,,,,,2026-09-01,,unavailable
7278,,,,,,,,,,,2026-09-01,,unavailable
7860,,,,,,,,,,,2026-09-01,,unavailable
7981,,,,,,,,,,,2026-09-01,,unavailable
8043,,,,,,,,,,,2026-09-01,,unavailable
8200,,,,,,,,,,,2026-09-01,,unavailable
8218,,,,,,,,,,,2026-09-01,,unavailable
8344,,,,,,,,,,,2026-09-01,,unavailable
8550,,,,,,,,,,,2026-09-01,,unavailable
9001,,,,,,,,,,,2026-09-01,,unavailable
9042,,,,,,,,,,,2026-09-01,,unavailable
9934,,,,,,,,,,,2026-09-01,,unavailable
4956,,,,,,,,,,,2026-09-01,,unavailable
4997,,,,,,,,,,,2026-09-01,,unavailable
5830,,,,,,,,,,,2026-09-01,,unavailable
6345,,,,,,,,,,,2026-09-01,,unavailable
